COURSE_ID                ROW_STATUS    
 200920.CSC100.11         0             
 200920.CSC100.45         0             
 200920.CSC100.46         0             
 200920.CSC100.EC         0             
 200920.CSC101.01         0             
 200920.CSC102.01         0             
 200920.CSC104.01         0             
 200920.CSC104.02         0             
 200920.CSC105.01         0             
 200920.CSC105.02         0             
 200920.CSC105.50         0             
 200920.CSC120.D1         0             
 200920.CSC130.01         2             
 200920.CSC130.D1         0             
 200920.CSC201.01         0             
 200920.CSC202.01         0             
 200920.CSC207.D1         0             
 200920.CSC220.01         0             
 200920.CSC300.01         0             
 200920.CSC303.D1         0             
 200920.CSC322.D1         0             
 200920.CSC332.01         0             
 200920.CSC342.01         2             
 200920.CSC350.D1         0             
 200920.CSC360.01         2             
 200920.CSC380.01         2             
 200920.CSC390.01         0             
 200920.CSC390.02         0             
 200920.CSC403.D1         0             
 200920.CSC434.D1         0             
 200920.CSC451.01         0             
 200920.CSC490.01         0             
 200920.CSC490.D1         0             
 200920.ECON200.01        0             
 200920.ECON200.02        0             
 200920.ECON211.01        0             
 200920.ECON211.02        0             
 200920.ECON211.03        0             
 200920.ECON211.04        0             
 200920.ECON211.45        0             
 200920.ECON212.01        0             
 200920.ECON212.02        0             
 200920.ECON212.03        0             
 200920.ECON212.04        0             
 200920.ECON212.46        0             
 200920.ECON301.01        0             
 200920.ECON310.01        0             
 200920.ECON310.46        0             
 200920.ECON310.D1        0             
 200920.ECON322.01        0             
 200920.ECON460.01        0             
 200920.EDAM660.01        0             
 200920.EDAM661.01        0             
 200920.EDAM670.01        0             
 200920.EDAM691.01        0             
 200920.EDAM691.02        0             
 200920.EDAM691.03        0             
 200920.EDAM691.04        0             
 200920.EDAM691.FZIMMERM  0             
 200920.EDLE704.01        0             
 200920.EDLE708.01        0             
 200920.EDLE709.01        0             
 200920.EDLE710.01        0             
 200920.EDLE720.01        0             
 200920.EDLE730.01        0             
 200920.EDLE740.01        0             
 200920.EDLE740.02        0             
 200920.EDLE740.03        0             
 200920.EDLE740.04        0             
 200920.EDMG400.01        0             
 200920.EDMG433.01        0             
 200920.EDMG470.01        0             
 200920.EDMG470.02        2             
 200920.EDUC210.01        0             
 200920.EDUC210.02        0             
 200920.EDUC210.03        0             
 200920.EDUC210.05        0             
 200920.EDUC210.44        0             
 200920.EDUC210.45        0             
 200920.EDUC210.47        0             
 200920.EDUC210.60        0             
 200920.EDUC210.D1        0             
 200920.EDUC211.01        0             
 200920.EDUC211.02        0             
 200920.EDUC211.03        2             
 200920.EDUC211.04        0             
 200920.EDUC211.05        0             
 200920.EDUC211.06        0             
 200920.EDUC211.07        0             
 200920.EDUC307.01        2             
 200920.EDUC307.CE        0             
 200920.EDUC308.01        0             
 200920.EDUC308.D1        0             
 200920.EDUC309.01        0             
 200920.EDUC310.01        0             
 200920.EDUC310.02        0             
 200920.EDUC310.03        0             
 200920.EDUC310.04        0             
 200920.EDUC310.05        0             
 200920.EDUC310.06        0             
 200920.EDUC310.60        0             
 200920.EDUC310.D1        0             
 200920.EDUC310.D2        0             
 200920.EDUC311.01        0             
 200920.EDUC314.01        0             
 200920.EDUC315.01        0             
 200920.EDUC315.02        0             
 200920.EDUC315.D1        0             
 200920.EDUC315.D2        0             
 200920.EDUC315.D3        0             
 200920.EDUC330.01        0             
 200920.EDUC330.02        0             
 200920.EDUC330.03        0             
 200920.EDUC330.04        0             
 200920.EDUC330.D1        0             
 200920.EDUC340.01        0             
 200920.EDUC340.02        0             
 200920.EDUC340.03        0             
 200920.EDUC340.04        0             
 200920.EDUC340.D1        0             
 200920.EDUC350.01        0             
 200920.EDUC361.D1        0             
 200920.EDUC421.01        0             
 200920.EDUC426.01        0             
 200920.EDUC450.01        0             
 200920.EDUC450.02        0             
 200920.EDUC460.01        0             
 200920.EDUC460.02        0             
 200920.EDUC460.03        0             
 200920.EDUC460.04        0             
 200920.EDUC460.07        0             
 200920.EDUC460.08        0             
 200920.EDUC460.11        0             
 200920.EDUC460.45        0             
 200920.EDUC461.01        2             
 200920.EDUC462.01        0             
 200920.EDUC463.01        0             
 200920.EDUC480.01        0             
 200920.EDUC480.02        0             
 200920.EDUC480.05        0             
 200920.EDUC480.06        0             
 200920.EDUC480.07        0             
 200920.EDUC480.08        0             
 200920.EDUC480.10        0             
 200920.EDUC480.6         0             
 200920.EDUC490.01        0             
 200920.EDUC610.01        0             
 200920.EDUC610.NC        0             
 200920.EDUC630.D1        0             
 200920.EDUC641.01        0             
 200920.EDUC650.01        0             
 200920.EDUC690.01        0             
 200920.EDUC697.01        0             
 200920.EDUC698.01        0             
 200920.EDUC999.01        0             
 200920.EDUC999.1         0             
 200920.ELEM353.01        0             
 200920.ELEM353.02        0             
 200920.ELEM354.D1        0             
 200920.ELEM451.01        0             
 200920.ELEM451.02        0             
 200920.ELEM455.02        0             
 200920.ELEM456.01        0             
 200920.ELEM456.02        0             
 200920.ELEM471.01        0             
 200920.ELEM471.02        0             
 200920.ELEM471.03        0             
 200920.ELEM471.04        0             
 200920.ELEM471.05        0             
 200920.ELEM491.01        0             
 200920.ELEM534.01        2             
 200920.ELEM534.D1        0             
 200920.ELEM540.01        0             
 200920.ELEM640.01        0             
 200920.ELEM680.01        0             
 200920.ENGL108.01        0             
 200920.ENGL108.02        0             
 200920.ENGL108.03        2             
 200920.ENGL108.04        2             
 200920.ENGL110.01        0             
 200920.ENGL110.02        0             
 200920.ENGL110.03        0             
 200920.ENGL110.04        0             
 200920.ENGL110.05        0             
 200920.ENGL110.06        0             
 200920.ENGL110.07        0             
 200920.ENGL110.08        0             
 200920.ENGL110.09        0             
 200920.ENGL110.10        0             
 200920.ENGL110.11        0             
 200920.ENGL110.12        2             
 200920.ENGL110.14        0             
 200920.ENGL110.15        2             
 200920.ENGL110.16        2             
 200920.ENGL110.17        0             
 200920.ENGL110.45        0             
 200920.ENGL110.46        0             
 200920.ENGL110.CE1       0             
 200920.ENGL110.CE2       0             
 200920.ENGL120.01        0             
 200920.ENGL120.02        0             
 200920.ENGL120.03        0             
 200920.ENGL120.04        0             
 200920.ENGL120.05        0             
 200920.ENGL120.06        0             
 200920.ENGL120.07        0             
 200920.ENGL120.08        0             
 200920.ENGL120.09        0             
 200920.ENGL120.10        0             
 200920.ENGL120.11        0             
 200920.ENGL120.12        0             
 200920.ENGL120.13        0             
 200920.ENGL120.14        0             
 200920.ENGL120.15        0             
 200920.ENGL120.16        0             
 200920.ENGL120.17        0             
 200920.ENGL120.18        0             
 200920.ENGL120.19        0             
 200920.ENGL120.20        0             
 200920.ENGL120.21        0             
 200920.ENGL120.22        0             
 200920.ENGL120.23        2             
 200920.ENGL120.25        0             
 200920.ENGL120.26        0             
 200920.ENGL120.27        0             
 200920.ENGL120.28        0             
 200920.ENGL120.29        0             
 200920.ENGL120.30        0             
 200920.ENGL120.31        0             
 200920.ENGL120.32        2             
 200920.ENGL120.33        0             
 200920.ENGL120.34        0             
 200920.ENGL120.35        0             
 200920.ENGL120.45        0             
 200920.ENGL120.46        0             
 200920.ENGL120.47        0             
 200920.ENGL120.48        0             
 200920.ENGL211.01        0             
 200920.ENGL212.01        2             
 200920.ENGL220.01        0             
 200920.ENGL220.D1        0             
 200920.ENGL220.D2        0             
 200920.ENGL223.01        0             
 200920.ENGL230.01        0             
 200920.ENGL231.01        0             
 200920.ENGL231.02        0             
 200920.ENGL240.01        0             
 200920.ENGL240.50        0             
 200920.ENGL271.01        0             
 200920.ENGL300.01        0             
 200920.ENGL300.03        0             
 200920.ENGL300.04        0             
 200920.ENGL300.44        2             
 200920.ENGL300.CE        0             
 200920.ENGL300.D1        0             
 200920.ENGL301.01        0             
 200920.ENGL301.D1        0             
 200920.ENGL311.01        0             
 200920.ENGL311.60        0             
 200920.ENGL312.01        0             
 200920.ENGL312.02        0             
 200920.ENGL321.01        0             
 200920.ENGL322.01        0             
 200920.ENGL322.02        0             
 200920.ENGL322.60        2             
 200920.ENGL332.01        0             
 200920.ENGL335.01        0             
 200920.ENGL341.01        0             
 200920.ENGL341.02        0             
